Mineprep:0.5 | 时间戳1779623115.5028656,中文,English,繁體中文,,,"② *生成器过滤类型{1:'👤', 2:'🟩' , 3:'🟥', 4:'🟨', 5:'🌊', 6:'📸', 7:'💡', 8:'👪', 9:'✨', 10:'🧱', 11:'𝓕', 12:'🔧'}",<2:放置生物>,<2:Mobs>,<2:放置生物>,,,,③,<3:预设素材>,<3:Preset>,<3:預設素材>,,,④,<4:附加组件>,<4:Attach>,<4:附加組件>,,,⑤,<5:枚举选项>,<5:Enum Options>,<5:枚舉選項>,,,,⑥,<6:放置方块>,<6:Blocks>,<6:放置方塊>,,,,⑦,<7:放置物品>,<7:Items>,<7:放置物品>
56,动态模糊,Motion Blur,動態模糊,,,🟩,猫,Cat,貓,,,,🌊,水坑贴花,Water Puddle Decal,水坑貼花,,,,,,,,,,,,,,,,👤🟩,安山岩台阶 [顶部],andesite_slab_top,安山岩半磚 [頂部],,,,🟩,骨头,bone,骨頭
57,最大值,Max blur,最大值,,,🟩,悦灵,Allay,悅灵,,,,🌊,高级水体,Advanced Water Body,高級水體,,,,,,,,,,,,,,,,👤🟩,安山岩楼梯,andesite_stairs,安山岩樓梯 (安山岩階梯),,,,🟩,骨粉,bone_meal,骨粉
58,光程,Light Paths,光程,,,🟩,流浪商人,Wandering Trader,流浪商人,,,,✨👪🟩,观众人群粒子,Spectator Crowd Particles,觀衆人群粒子,,,,,,,,,,,,,,,,👤🟩,安山岩楼梯 [内角],andesite_stairs_inner,安山岩樓梯 (安山岩階梯) [內角],,,,👤🟩,书,book,書
59,反射次数,Reflection,反射次數,,,🟩👤,流浪商人 [NPC],Wandering Trader [NPC],流浪商人 [NPC],,,,✨👪🟩🌊,鱼群粒子,Fish School Particles,魚群粒子,,,,,,,,,,,,,,,,👤🟩,安山岩楼梯 [外角],andesite_stairs_outer,安山岩樓梯 (安山岩階梯) [外角],,,,👤,波纹边旗帜图案,bordure_indented_banner_pattern,波紋邊旗幟圖案
60,折射次数,Refraction,折射次數,,,🟩,豹猫,Ocelot,豹貓(山貓),,,,,,,,,,,,,,,,,,,,,,,👤🟩,安山岩 [墙上物品栏],andesite_wall_inventory,安山岩 [牆上物品欄],,,,👤🟩,弓,bow,弓
61,色彩管理,Color management,色彩管理,,,🟩👤,豹猫 [NPC],Ocelot [NPC],豹貓(山貓) [NPC],,,,,,,,,,,,,,,,,,,,,,,👤🟩,安山岩 [墙上柱],andesite_wall_post,安山岩 [牆上柱],,,,🟩,碗,bowl,碗
62,自动曝光,Auto exposure,自動曝光,,,🟩👤,蠹虫 [NPC],Silverfish [NPC],蠹魚 [NPC],,,,,,,,,,,,,,,,,,,,,,,👤🟩,安山岩 [墙上侧面],andesite_wall_side,安山岩 [牆上側面],,,,#,弓 [拉弓1],bow_pulling_0,弓 [拉弓1]
63,曝光补偿,Exposure,曝光補償,,,🟨👤,末影螨 [NPC],Endermite [NPC],終界蟎 [NPC],,,,,,,,,,,,,,,,,,,,,,,👤🟩,安山岩墙 [side_tall],andesite_wall_side_tall,安山岩牆 [side_tall],,,,#,弓 [拉弓2],bow_pulling_1,弓 [拉弓2]
64,阴影对比度,Shadow,陰影對比度,,,🟩👤,蜘蛛 [NPC],Spider [NPC],蜘蛛 [NPC],,,,,,,,,,,,,,,,,,,,,,,👤,铁砧,anvil,鐵砧,,,,#,弓 [拉弓3],bow_pulling_2,弓 [拉弓3]
65,高光对比度,Highlight,高光對比度,,,🟩👤,洞穴蜘蛛 [NPC],Cave Spider [NPC],洞穴蜘蛛 [NPC],,,,,,,,,,,,,,,,,,,,,,,🟩,结果的西瓜茎,attached_melon_stem,連接嘅西瓜椗 (連接的西瓜梗),,,,🟩,面包,bread,麪包 (麵包)
66,红蓝3D叠加输出,3D red-cyan anaglyph,紅藍3D疊加輸出,,,🟥👤,恶魂 [NPC],Ghast [NPC],地獄幽靈 [NPC],,,,,,,,,,,,,,,,,,,,,,,🟩,结果的南瓜茎,attached_pumpkin_stem,連接嘅南瓜椗 (連接的南瓜梗),,,,🟩,旋风棒,breeze_rod,旋風棒 (旋風桿)
67,锐化,Sharpen,銳化,,,🟥👤,快乐恶魂 [NPC],Happy Ghast [NPC],快樂幽靈 [NPC],,,,,,,,,,,,,,,,,,,,,,,🟩,杜鹃花丛,azalea,杜鵑叢,,,,🟩,旋风人刷怪蛋,breeze_spawn_egg,旋風使者 生成蛋 (旋風使者 生怪蛋)
68,附加组件,Append,附加組件,,,🟥👤,小恶魂 [NPC],Ghastling [NPC],幽靈仔(小幽靈) [NPC],,,,,,,,,,,,,,,,,,,,,,,🟩,杜鹃树叶,azalea_leaves,杜鵑樹葉 (杜鵑葉),,,,🟩,佳酿纹样陶片,brewer_pottery_sherd,利刃陶罐碎片 (釀造陶器碎片)
69,放置生物,Mobs,放置生物,,,🟥✨👤,烈焰人 [NPC],Blaze [NPC],烈焰使者 [NPC],,,,,,,,,,,,,,,,,,,,,,,🟩,蓝花美耳草,azure_bluet,雛草,,,,👤🟩💡,酿造台,brewing_stand,釀造台
70,预设素材,Preset,預設素材,,,🟥👤,凋灵 [NPC],Wither [NPC],凋零 [NPC],,,,,,,,,,,,,,,,,,,,,,,🟩,bamboo1 [阶段0],bamboo1_age0,bamboo1 [階段0],,,,🟩,红砖,brick,紅磚頭
71,生成 MC 天空,Create MC Sky,生成 MC 天空,,,🟥👤,疣猪兽 [NPC],Hoglin [NPC],野豬獸(豬布獸) [NPC],,,,,,,,,,,,,,,,,,,,,,,🟩,bamboo1 [阶段1],bamboo1_age1,bamboo1 [階段1],,,,👤,棕色收纳袋,brown_bundle,棕色收納袋 (束口袋)
72,光线追踪半透明,RT Translucency,光綫追蹤半透明,,,🟩👤,雪傀儡 [NPC],Snow Golem [NPC],雪人 [NPC],,,,,,,,,,,,,,,,,,,,,,,🟩,bamboo2 [阶段0],bamboo2_age0,bamboo2 [階段0],,,,#,棕色收纳袋 [打开背面],brown_bundle_open_back,棕色收納袋 (束口袋) [打開背面]
73,卷积辉光,Convolution Bloom,捲積輝光,,,🟩👤,狼 [NPC],Wolf [NPC],狼 [NPC],,,,,,,,,,,,,,,,,,,,,,,🟩,bamboo2 [阶段1],bamboo2_age1,bamboo2 [階段1],,,,#,棕色收纳袋 [打开正面],brown_bundle_open_front,棕色收納袋 (束口袋) [打開正面]
74,卷积阈值,Conv-Threshold,捲積閾值,,,🟩👤,猫 [NPC],Cat [NPC],貓 [NPC],,,,,,,,,,,,,,,,,,,,,,,🟩,bamboo3 [阶段0],bamboo3_age0,bamboo3 [階段0],,,,👤💡,棕色蜡烛,brown_candle,啡色蠟燭 (棕色蠟燭)
75,卷积倍率,Conv-Mult,捲積倍率,,,🟩👤,悦灵 [NPC],Allay [NPC],悅灵 [NPC],,,,,,,,,,,,,,,,,,,,,,,🟩,bamboo3 [阶段1],bamboo3_age1,bamboo3 [階段1],,,,👤🟩,棕色染料,brown_dye,啡色染料 (棕色染料)
76,仅复杂碰撞,Complex Only,僅複雜碰撞,,,🟩,苦力怕,Creeper,苦力怕,,,,,,,,,,,,,,,,,,,,,,,🟩,bamboo4 [阶段0],bamboo4_age0,bamboo4 [階段0],,,,🟩,棕色鸡蛋,brown_egg,棕色雞蛋
77,材质,Material,材質,,,🟩👤,苦力怕 [NPC],Creeper [NPC],苦力怕 [NPC],,,,,,,,,,,,,,,,,,,,,,,🟩,bamboo4 [阶段1],bamboo4_age1,bamboo4 [階段1],,,,👤🟩,棕色马铠,brown_harness,棕色馬鎧
78,覆层材质,Overlay,覆層材質,,,🟩,鹦鹉,Parrot,鸚鵡,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹块,bamboo_block,竹塊 (竹方塊),,,,👤🟩,刷子,brush,毛刷 (刷子)
79,物理材质,Physics,物理材質,,,🟩👤,鹦鹉 [NPC],Parrot [NPC],鸚鵡 [NPC],,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹块 [x],bamboo_block_x,竹塊 (竹方塊) [x],,,,👤🟩,铁桶,bucket,鐵桶
80,重载材质,Replace Material,重載材質,,,🟩,焦骸,Parched,旱骨/枯骸,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹块 [y],bamboo_block_y,竹塊 (竹方塊) [y],,,,👤,收纳袋,bundle,收納袋
81,处理录制的动画,Process Recording,處理錄製的動畫,,,🟩👤,焦骸 [NPC],Parched [NPC],旱骨/枯骸 [NPC],,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹块 [z],bamboo_block_z,竹塊 (竹方塊) [z],,,,#,收纳袋 [打开背面],bundle_open_back,收納袋 (束口袋) [打開背面]
82,漫反射增强,Diffuse Boost,漫反射增強,,,🟩,骆驼,Camel,駱駝,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹按钮,bamboo_button,竹按鈕,,,,#,收纳袋 [打开正面],bundle_open_front,收納袋 (束口袋) [打開正面]
83,暖场帧,Warm-up Frames,暖場幀,,,🟩👤,骆驼 [NPC],Camel [NPC],駱駝 [NPC],,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹按钮 [物品栏],bamboo_button_inventory,竹按鈕 [物品欄],,,,🟩,烈焰纹样陶片,burn_pottery_sherd,烈焰陶罐碎片 (烈焰陶器碎片)
84,双击可立即运行此项,Double-click to run this immediately,雙擊可立即運行此項,,,🟩,骆驼尸壳,Camel Husk,駱駝屍殼,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹按钮 [按下],bamboo_button_pressed,竹按鈕 [按下],,,,🟩,蛋糕,cake,蛋糕
85,次表面散射,Subsurface,次表面散射,,,🟩👤,骆驼尸壳 [NPC],Camel Husk [NPC],駱駝屍殼 [NPC],,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹门 [底部左],bamboo_door_bottom_left,竹門 [底部左],,,,🟩,骆驼刷怪蛋,camel_spawn_egg,駱駝 生成蛋 (駱駝 生怪蛋)
86,高级设置,Settings,高級設置,,,🟩🌊,鳕鱼,Cod fish,鱈魚,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹门 [底部左打开],bamboo_door_bottom_left_open,竹門 [底部左打開],,,,👤🟩💡,营火,campfire,營火
87,渲染输出,Render Output,渲染輸出,,,🟩🌊,鲑鱼,Salmon fish,三文魚(鮭魚),,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹门 [底部右],bamboo_door_bottom_right,竹門 [底部右],,,,👤💡,蜡烛,candle,蠟燭
88,生成器,Spawner,生成器,,,🟩🌊,热带鱼,Tropical fish,熱帶魚,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹门 [底部右打开],bamboo_door_bottom_right_open,竹門 [底部右打開],,,,🟩,胡萝卜,carrot,紅蘿蔔 (胡蘿蔔)
89,其他功能,Other Tools,其他功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹门 [顶部左],bamboo_door_top_left,竹門 [頂部左],,,,👤🟩,胡萝卜钓竿,carrot_on_a_stick,紅蘿蔔魚竿 (胡蘿蔔釣竿)
90,右键显示参数,Right-click to show parameters,右鍵顯示參數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹门 [顶部左打开],bamboo_door_top_left_open,竹門 [頂部左打開],,,,🟩,猫刷怪蛋,cat_spawn_egg,貓 生成蛋 (貓 生怪蛋)
91,室内天空光照,Indoor Skylight,室内天空光照,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹门 [顶部右],bamboo_door_top_right,竹門 [頂部右],,,,👤🟩,炼药锅,cauldron,鍋 (鍋釜)
92,全语言搜索,Search all languages,全語言搜索,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹门 [顶部右打开],bamboo_door_top_right_open,竹門 [頂部右打開],,,,🟩,洞穴蜘蛛刷怪蛋,cave_spider_spawn_egg,洞穴蜘蛛 生成蛋 (洞穴蜘蛛 生怪蛋)
93,一键渲染动画 !,Render Animation !,一鍵渲染動畫 !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹栅栏门,bamboo_fence_gate,竹閘門 (竹柵欄門),,,,👤🟩,锁链靴子,chainmail_boots,鎖鏈靴 (鎖鏈靴子)
94,重新初始化插件,Reinitialize Plugin,重新初始化插件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹栅栏门 [打开],bamboo_fence_gate_open,竹閘門 (竹柵欄門) [打開],,,,👤🟩,锁链胸甲,chainmail_chestplate,鎖鏈胸甲
95,UI界面缩放,UI Scale,UI界面縮放,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹栅栏门 [墙上],bamboo_fence_gate_wall,竹閘門 (竹柵欄門) [牆上],,,,👤🟩,锁链头盔,chainmail_helmet,鎖鏈頭盔
96,朗读鼠标下文本,Text To Speech,朗讀鼠標下文本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹栅栏门 [墙上打开],bamboo_fence_gate_wall_open,竹閘門 (竹柵欄門) [牆上打開],,,,👤🟩,锁链护腿,chainmail_leggings,鎖鏈護腳 (鎖鏈護腿)
97,内存预加载,Memory Pre-load,内存預加載,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹栅栏 [物品栏],bamboo_fence_inventory,竹欄杆 (竹柵欄) [物品欄],,,,🟩,木炭,charcoal,木炭
98,运行时按键映射,Runtime Key mapping,運行時按鍵映射,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹栅栏 [柱],bamboo_fence_post,竹欄杆 (竹柵欄) [柱],,,,👤🟩🌊,樱花木船,cherry_boat,櫻花木船
99,编辑器HDR亮度,Editor Brightness,編輯器HDR亮度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹栅栏 [侧面东],bamboo_fence_side_east,竹欄杆 (竹柵欄) [側面東],,,,👤🟩🌊,樱花木运输船,cherry_chest_boat,儲物箱櫻花木船
100,调色示波器,Color Scopes,調色示波器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹栅栏 [侧面北],bamboo_fence_side_north,竹欄杆 (竹柵欄) [側面北],,,,👤🟩,樱花木门,cherry_door,櫻花木門
101,采样步长,Sample Steps,采樣步長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹栅栏 [侧面南],bamboo_fence_side_south,竹欄杆 (竹柵欄) [側面南],,,,👤🟩,悬挂式樱花木告示牌,cherry_hanging_sign,櫻花木吊牌 (懸掛式櫻花木告示牌)
102,波形图亮度,Scope Brightness,波形圖亮度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹栅栏 [侧面西],bamboo_fence_side_west,竹欄杆 (竹柵欄) [側面西],,,,👤🟩,樱花木告示牌,cherry_sign,櫻花木指示牌 (櫻花木告示牌)
103,编辑器快捷键,Editor Shortcuts,編輯器快捷鍵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式竹告示牌,bamboo_hanging_sign,竹吊牌 (懸掛式竹告示牌),,,,👤🟩,运输矿车,chest_minecart,儲物箱礦車
104,打开引擎快捷键菜单,Open Engine Shortcuts Menu,打開引擎快捷鍵菜單,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,竹子 [large_leaves],bamboo_large_leaves,竹 (竹子) [large_leaves],,,,🟩,生鸡肉,chicken,生雞肉
105,打开快捷键事件蓝图,Open Shortcut Events Blueprint,打開快捷鍵事件藍圖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,竹马赛克,bamboo_mosaic,竹拼塊,,,,🟩,鸡刷怪蛋,chicken_spawn_egg,雞 生成蛋 (雞 生怪蛋)
106,环境光遮蔽,Ambient Occlusion,環境光遮蔽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹马赛克台阶,bamboo_mosaic_slab,竹拼半磚,,,,🟨,紫颂果,chorus_fruit,歌萊果
107,距离,Distance,距離,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹马赛克台阶 [顶部],bamboo_mosaic_slab_top,竹拼半磚 [頂部],,,,🟩,黏土球,clay_ball,黏土球
108,平滑滚动面板,Smooth Rolling,平滑滾動面板,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹马赛克楼梯,bamboo_mosaic_stairs,竹拼樓梯 (竹拼階梯),,,,#,时钟 [00],clock_00,時鐘 [00]
109,输出音频,Audio,輸出音頻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹马赛克楼梯 [内角],bamboo_mosaic_stairs_inner,竹拼樓梯 (竹拼階梯) [內角],,,,#,时钟 [01],clock_01,時鐘 [01]
110,鼠标悬停时打开此面板,Show Panels When Hovering,鼠標懸停時打開此面板,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹马赛克楼梯 [外角],bamboo_mosaic_stairs_outer,竹拼樓梯 (竹拼階梯) [外角],,,,#,时钟 [02],clock_02,時鐘 [02]
111,静态材质,Static,靜態材質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,竹板,bamboo_planks,竹板 (竹材),,,,#,时钟 [03],clock_03,時鐘 [03]
112,动态材质,Dynamic,動態材質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹压力板,bamboo_pressure_plate,竹壓力板,,,,#,时钟 [04],clock_04,時鐘 [04]
113,交互强度,Interaction,交互强度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹压力板 [按下],bamboo_pressure_plate_down,竹壓力板 [按下],,,,#,时钟 [05],clock_05,時鐘 [05]
114,双面,Two-sided,雙面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,竹笋,bamboo_sapling,竹筍,,,,#,时钟 [06],clock_06,時鐘 [06]
115,尝试放置生物宝宝,Try spawn baby mobs,嘗試放置生物寶寶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹子 [shelf],bamboo_shelf,竹 (竹子) [shelf],,,,#,时钟 [07],clock_07,時鐘 [07]
116,"过滤特定种类
*左键选择此类，中键仅选择此类，右键排除此类","Filter Types
Left-click to include this type;
Middle-click to only select this type;
Right-click to exclude this type.","過濾特定種類
*左鍵選擇此類，中鍵進選擇此類，右鍵排除此類",,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹子 [中间],bamboo_shelf_center,竹 (竹子) [中間],,,,#,时钟 [08],clock_08,時鐘 [08]
117,选择透明图片，导入为3D模型,"Select a transparent image, import as 3D model",選擇透明圖片，導入為3D模型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹子 [物品栏],bamboo_shelf_inventory,竹 (竹子) [物品欄],,,,#,时钟 [09],clock_09,時鐘 [09]
118,右键开始录制选中对象的动画,Right-click to record animation for selected actors,右鍵開始錄製選中對象的動畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹子 [左],bamboo_shelf_left,竹 (竹子) [左],,,,#,时钟 [10],clock_10,時鐘 [10]
119,右键打开调色面板,Right-click to open color grading panel,右鍵打開調色面板,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹子 [右],bamboo_shelf_right,竹 (竹子) [右],,,,#,时钟 [11],clock_11,時鐘 [11]
120,右键在MC场景编辑器模式和普通选择模式之间切换,Right-click to switch between MC World Editor mode and default selection mode,右鍵在MC場景編輯器模式和普通選擇模式之間切換,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹子 [未连接],bamboo_shelf_unconnected,竹 (竹子) [未連接],,,,#,时钟 [12],clock_12,時鐘 [12]
121,使用当前时间线,Use Current Timeline,使用當前時間線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹子 [未充能],bamboo_shelf_unpowered,竹 (竹子) [未充能],,,,#,时钟 [13],clock_13,時鐘 [13]
122,创建副本,Create a Copy,創建副本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹告示牌,bamboo_sign,竹指示牌 (竹告示牌),,,,#,时钟 [14],clock_14,時鐘 [14]
123,直接录制动画到对象上,Directly Record on Actors,直接錄制動畫到對象上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹台阶,bamboo_slab,竹半磚,,,,#,时钟 [15],clock_15,時鐘 [15]
124,每个对象创建子序列,Create Subsequences,每個對象創建子序列,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹台阶 [顶部],bamboo_slab_top,竹半磚 [頂部],,,,#,时钟 [16],clock_16,時鐘 [16]
125,录制帧率,Frame Rate,錄制幀率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,竹子 [small_leaves],bamboo_small_leaves,竹 (竹子) [small_leaves],,,,#,时钟 [17],clock_17,時鐘 [17]
126,录制前倒计时,Countdown,錄制前倒計時,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹楼梯,bamboo_stairs,竹樓梯 (竹階梯),,,,#,时钟 [18],clock_18,時鐘 [18]
127,游戏模式,Game Mode,遊戲模式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹楼梯 [内角],bamboo_stairs_inner,竹樓梯 (竹階梯) [內角],,,,#,时钟 [19],clock_19,時鐘 [19]
128,"调整定向光源(日月)阴影模式
默认(白色)：Megalights光追阴影
左键(绿色)：Megalights虚拟阴影贴图，质量好性能差
右键(红色)：禁用Megalights，退回Lumen","Adjust the directional light (Sun/Moon) shadow mode
Default (White): Megalights Raytraced shadow
Left Click (Green): Megalights VSM — higher quality, lower performance
Right Click (Red): Disable Megalights and fall back to Lumen","調整定向光源(日/月)陰影模式
預設(白色)：Megalights光線追蹤陰影
左鍵(綠色)：Megalights虛擬陰影貼圖，品質高但效能差
右鍵(紅色)：停用Megalights，回退至Lumen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹楼梯 [外角],bamboo_stairs_outer,竹樓梯 (竹階梯) [外角],,,,#,时钟 [20],clock_20,時鐘 [20]
129,HDR渲染亮度倍率,Render Brightness Mult,HDR渲染亮度倍率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹活板门 [底部],bamboo_trapdoor_bottom,竹地板門 [底部],,,,#,时钟 [21],clock_21,時鐘 [21]
130,图片转码,Image Transcode,圖片轉碼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹活板门 [打开],bamboo_trapdoor_open,竹地板門 [打開],,,,#,时钟 [22],clock_22,時鐘 [22]
131,3D格式,3D Format,3D格式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,竹活板门 [顶部],bamboo_trapdoor_top,竹地板門 [頂部],,,,#,时钟 [23],clock_23,時鐘 [23]
132,渲染结束打开文件夹,Open Folder After Render,渲染結束打開文件夾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,旗帜,banner,旗幟,,,,#,时钟 [24],clock_24,時鐘 [24]
133,渲染结束提示音,Render Finish Sound,渲染結束提示音,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,木桶,barrel,木桶,,,,#,时钟 [25],clock_25,時鐘 [25]
134,删除原图,Delete Source Sequence,刪除原圖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,木桶 [打开],barrel_open,木桶 [打開],,,,#,时钟 [26],clock_26,時鐘 [26]
135,*此按钮将远程调用Blender Mcprep*,*This button will make a remote function call to Blender Mcprep*,*此按鈕將遠程調用Blender Mcprep*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,屏障,barrier,障幕 (屏障),,,,#,时钟 [27],clock_27,時鐘 [27]
136,导入世界,Import Wortld,導入世界,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟥,玄武岩,basalt,玄武岩,,,,#,时钟 [28],clock_28,時鐘 [28]
137,自动准备场景,Run Prep Scene,自動準備場景,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,信标,beacon,烽火台,,,,#,时钟 [29],clock_29,時鐘 [29]
138,平直着色（重置法线）,Shade Flat (Reset Normal),平直著色（重置法綫）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,床,bed,床,,,,#,时钟 [30],clock_30,時鐘 [30]
139,左键打开插件面板本地化文件，右键打开Actor细节面板本地化文件,Left‑click to open the localization file for plugin panel; right‑click to open the localization file for Actor details panel.,左鍵打開插件面板的本地化文件，右鍵開啟 Actor 細節面板的本地化文件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,基岩,bedrock,基岩,,,,#,时钟 [31],clock_31,時鐘 [31]
140,半透明,Translucent,半透明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,基岩 [mirrored],bedrock_mirrored,基岩 [mirrored],,,,#,时钟 [32],clock_32,時鐘 [32]
141,"点击后应用此参数至选中项
双击时应用参数并保存更改","Click to apply this param to the selected actors.
Double‑click to apply the param then save the changes.","點擊後將此參數套用至選中項
雙擊時套用參數並保存變更",,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,蜂箱 [empty],beehive_empty,蜂箱 [empty],,,,#,时钟 [33],clock_33,時鐘 [33]
142,方块,Block,方塊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,蜂箱 [honey],beehive_honey,蜂箱 [honey],,,,#,时钟 [34],clock_34,時鐘 [34]
143,生物,Mob,生物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,甜菜根 [生长阶段0],beetroots_stage0,紅菜頭 (甜菜根) [生長階段0],,,,#,时钟 [35],clock_35,時鐘 [35]
144,自定义参数名,Custom Param Name,自定義參數名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,甜菜根 [生长阶段1],beetroots_stage1,紅菜頭 (甜菜根) [生長階段1],,,,#,时钟 [36],clock_36,時鐘 [36]
145,更换模型（实例化）,Mesh Swap,更換模型（實例化）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,甜菜根 [生长阶段2],beetroots_stage2,紅菜頭 (甜菜根) [生長階段2],,,,#,时钟 [37],clock_37,時鐘 [37]
146,分割不相邻方块的距离,Split Distance,分割不相鄰方塊的距離,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,甜菜根 [生长阶段3],beetroots_stage3,紅菜頭 (甜菜根) [生長階段3],,,,#,时钟 [38],clock_38,時鐘 [38]
147,生成辅助灯光,Spawn Assistant Lights,生成輔助燈光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,蜂巢 [empty],bee_nest_empty,蜂巢 (蜂窩) [empty],,,,#,时钟 [39],clock_39,時鐘 [39]
